title,title_spotify,artist,album,colab,id,release_date,peak_rank,peak_date,peak_year,lustrum,weeks,sp_popularity,tempo,duration,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,before_1964,release_year
Cap And Gown,Doggone Cowboy,Marty Robbins,Return of the Gunfighter,N,62qiyZxpfg6wEIV6S5PE9y,1963-12-17,45.0,1959-06-10,1959,1955-1959,6.0,58.0,147.163,129.973,5.0,1.0,0.739,0.321,-13.229,0.0502,0.858,0.0,0.109,0.811,True,1963
Caribbean,Caribbean,Mitchell Torok,Caribbean,N,51OPErNxOFv7Qv0LQKeQZ5,1960-01-01,27.0,1959-07-29,1959,1955-1959,14.0,10.0,142.211,152.693,0.0,1.0,0.726,0.867,-2.531,0.0303,0.78,8.02e-06,0.159,0.94,True,1960
Carol,Carol,Chuck Berry,Berry Is On Top,N,41ADUIxv4MkkWi7kgaZMrH,1959-07-01,18.0,1958-08-20,1958,1955-1959,10.0,43.0,157.291,168.6,0.0,1.0,0.637,0.852,-10.752,0.036,0.869,0.000836,0.351,0.789,True,1959
Castin' My Spell,Castin' My Spell,The Johnny Otis Show,The Capitol Years,Y,314daYWDtEZ9kFYY76PUn3,1989-01-01,52.0,1959-04-22,1959,1955-1959,5.0,30.0,103.502,131.667,8.0,0.0,0.881,0.9,-8.342,0.054,0.512,2.61e-05,0.234,0.929,True,1989
Cathy's Clown,Cathy's Clown,The Everly Brothers,The Golden Hits of The Everly Brothers,N,1MA9StLzlFftLbuqOmoWij,1962-06-01,1.0,1960-04-13,1960,1960-1964,17.0,43.0,119.808,144.013,7.0,1.0,0.497,0.582,-8.961,0.0339,0.412,0.0,0.372,0.866,True,1962
Cerveza,Cerveza,Boots Brown And His Blockbusters,Take It Off: The Ultimate Burlesque Album,N,4yJGljvcvDEp2cxWRHao6s,2017-06-09,62.0,1961-02-01,1961,1960-1964,8.0,2.0,81.534,126.107,5.0,1.0,0.588,0.885,-5.748,0.0461,0.628,0.942,0.063,0.932,True,2017
Chain Gang,Chain Gang,Sam Cooke,The Man Who Invented Soul,N,1sK10Me7qS9em2QTx6dYRe,2000-09-26,2.0,1960-08-10,1960,1960-1964,16.0,44.0,131.808,160.0,7.0,1.0,0.698,0.661,-9.674,0.0416,0.636,0.0,0.228,0.824,True,2000
Chantilly Lace,Chantilly Lace,Big Bopper,Chantilly Lace,N,07GtDOCxmye5KDWsTSACPk,1958-01-01,6.0,1958-01-01,1958,1955-1959,25.0,55.0,172.269,145.267,3.0,1.0,0.489,0.806,-6.054,0.0858,0.841,2.96e-05,0.0687,0.944,True,1958
Chapel Of Dreams,Chapel of Dreams,The Dubs,Could This Be Magic: The Best of the Dubs,N,2oaZcn6uAZgo3kNASLQfMB,2023-05-12,74.0,1959-08-19,1959,1955-1959,6.0,21.0,98.88,150.16,3.0,1.0,0.526,0.505,-4.697,0.0272,0.4,0.0,0.0511,0.684,True,2023
Chariot Rock,Chariot Rock,The Champs,Greatest Hits / Tequila,N,6XryacCjlrgV6EXlQbEJRx,1994-04-19,59.0,1958-08-06,1958,1955-1959,7.0,10.0,168.637,140.533,5.0,1.0,0.421,0.749,-10.836,0.0384,0.269,0.885,0.12,0.919,True,1994
